country,show_id
Canada,81145628
India,80117401
United States,70234439
United States,80058654
United Kingdom,80125979
United Kingdom,80163890
United States,70304989
United States,80164077
Canada,70304990
United States,80169755
Canada,70299204
United States,80182480
France,80182483
Spain,80182596
United Kingdom,80182482
United States,80182597
,80182481
,80182621
,80057969
,80060297
,80046728
,70304988
,80057700
Italy,80045922
,80244601
,70241607
,80988892
United States,80239639
,80159586
,80152447
,80221550
,81154455
,81113928
,81052275
,81132437
,80178151
,80058026
,70303496
,80162141
,80095641
,81176188
,80159880
,81016044
,80158838
,81016045
,70142798
,70062814
,80158839
,80147760
,80177405
,80113482
,81160036
,81173255
,81078908
,81155784
,80201906
,80052612
,80113641
,81054495
,80996949
,80239337
,70212504
,80116921
,80187061
,80184358
,80198585
United States,70233894
,81011955
,80128722
,80163293
,80104068
,80199032
,80180449
,80019931
,80200087
,81053892
,81002850
,81004470
,80157072
,81002864
,81016750
,81002866
,80225885
,81132443
United States,80218107
,80231903
,80220715
,80241248
,81012295
,80060037
,60003155
,81177238
,70270775
,81025403
,80215923
,80151483
,80173625
,81075519
,80166318
,81186758
,81186757
,80108976
,80208155
,80162144
,81053953
,81074113
,80992496
India,70304191
,80103311
,81176200
,80238106
,80208906
,80106966
,81004814
,81080769
,70267838
,80211380
,80196586
,80099204
,80059432
,81172721
,81172727
,70153543
,81172728
,81095101
,80241960
,80115346
,80124522
,80102952
,80214464
,80157073
,80243600
,81020513
,81020518
,81020523
,80216172
,81122669
,80184771
,81000389
,81132439
,81035117
,80244627
India,80150502
,80189183
,80997866
,80119815
,80224294
,80203776
,80143797
,80161931
,80057610
,80017275
,81107545
,70118953
,80190449
,70259208
,80163156
,80176878
,80131281
,80131374
,80131436
,80131376
,80131435
,80131375
,80149143
"United Kingdom, France",81144925
,80987075
,80192815
,80135278
,80136452
,80066798
,81147293
,70178604
United States,80991316
,80190588
"United States, Italy",70124316
,70229037
,80219119
India,80037280
,80165072
India,80058248
,70307661
,70117312
,80092885
,80108371
,70129452
,70251519
,81174992
,81030342
India,70143865
,70054723
,81069393
,80012550
"United States, India",81131761
,81176196
,70143831
,81003648
,81016326
,80241102
,80227777
,81018233
,81016317
,81016337
,81018234
,81018235
,81018236
United States,81018237
,81018238
,81016339
,80067522
,80192149
,80142637
United States,80192014
,80192015
,80202129
,80088910
United States,70290909
,80033772
,81093951
,80238013
,81089941
,81000011
,80243899
,80217733
United States,80194704
,80999985
,81002336
,80188120
,80164779
,80993613
,81092328
,81183572
,81037283
,80244973
,81095103
,81132438
,80217779
,80211572
,81161230
United States,81002412
,81023636
,80217669
,80153467
,80192834
,80198046
,80993062
,81098586
,70267728
,81011508
,81001000
,80158670
United States,80223685
,80189586
,80244019
,80162143
"United Kingdom, United States",81060174
,70130445
,81001494
United States,81077065
,80991570
,80184129
"United States, United Kingdom, Germany",60000861
,1151375
India,80187228
,81031008
,70099119
,70039185
,81165769
,70056433
United States,70113003
,60031232
United States,80032842
,81137482
,70043308
,81165771
,70044697
,70105368
,80241003
,81141689
,1008581
India,70058023
,81165786
,81165770
United States,70043303
,70136074
,1153194
,70112730
,81154900
,81154956
,81158575
,81065786
,70087541
,81004113
United States,81003984
,70024088
,81005312
,80082969
,80994130
,81019924
,81018240
,81013710
,70077076
,81014988
,80102950
,80994108
,70055221
,81005314
,80242828
,81004223
United States,80198730
,81016043
Japan,17672040
,81004162
Japan,81011096
,80188969
,80189155
,20254278
,80189208
,70276596
,80063025
,70068739
United States,80158389
,80156941
,80178543
,70213196
,70052492
,70036200
,70018513
,80158480
,80105933
,80139506
,80205314
,80133200
,80158545
,80156939
,80152537
,80045673
,70275937
India,70101321
,70108386
United States,70074559
,80162197
,80160358
,60034929
,80157134
,80141891
,80183897
,80177834
,80121855
,80168028
United States,80200913
,80190990
,80173269
,80106140
,80106137
,80118873
,70229514
,80114155
,70303288
,80118841
,80102579
,80111273
United States,80111710
United States,80114419
,80128337
"China, United States, United Kingdom",70303289
"China, United States, United Kingdom",80111614
,80111275
,80103426
,80118889
,70278877
,80244311
,81183570
"Denmark, United Kingdom, Czech Republic, Netherlands",80216665
United Kingdom,81016328
,80239503
,81016321
,80995737
,81021976
,81020161
,80025390
,80196216
,80115464
,80113144
,80041653
,81016338
,81002592
,81017724
,80174918
,80170301
,80215730
,81161487
United States,81177367
Canada,81016323
,80198511
,81016318
,80240840
United States,80191369
United States,80242081
,80168222
,80999063
,80220650
United States,80164032
,81158574
United States,80237905
,81132440
,80117803
,81021243
,81004460
,81016330
,70105130
,81010662
,80141858
,81084225
,80203920
,80242051
,80199806
,80084834
,80208273
United States,80145699
,80204927
,70266684
,81166978
,81177371
,81167029
,81142594
,70067230
,80207446
,80207447
,80987753
,81016324
,80192097
,80217066
,70002129
,80191963
,80218099
United States,80199767
,80191665
,80161921
,81148672
,81169914
,80224362
,80092857
,81110394
,80067754
,80189954
,80094648
,80066073
,80123740
,80123741
,80094260
,80123742
,81197399
,81000863
,70082255
"United States, Ireland",80197912
,80117454
,80095197
,80045783
,81185502
,81123469
,80211622
,80990221
,80202352
United States,80235268
,81025088
,80173479
,80081372
,81136744
India,80221210
,81132444
,80182014
,81010786
,81105406
,81121023
,81061828
,81062582
,81017316
,81018455
,81110383
,81200228
,70218316
,80995073
,81018183
,80064515
,80062011
,80197462
,81034741
,81075461
,80205231
,80235864
,80158919
United States,80135414
,70258566
,80017261
,81038022
,80186796
,81071891
,80224536
,81017545
,80994444
,80017286
,70295169
,80039050
,81027753
United States,15815343
,70295176
,81043190
,80131240
,70170182
,70082633
,70049619
,80211135
,70109884
,70176967
,70198040
,80038442
,80091310
,70114484
,80169350
,80066079
,80117443
,80010717
,81020005
,81035748
,80135164
,80184569
,80113669
,80222133
,81029301
United States,81025218
,81025251
,81025309
,81025263
,81025361
,81094801
,80218973
,80235999
,80215419
,80236359
,70118860
,80017240
United States,70118859
,80236356
,80236778
,80236470
"United States, United Kingdom, Canada",70213237
,80236357
,699257
,80237311
,80236574
,80039069
,80046779
,60001650
,81172848
,81034575
,81025800
,81003997
,80207486
,80226951
,80216677
,80232279
,80239666
,81011973
United States,81031037
,80144152
,81035749
,81035750
,81035751
,80148162
,80211465
United States,80171705
,81172729
,81172895
United States,80206910
,81172905
,80178724
,81132442
United States,81020066
,81193245
,81172723
,80990336
,81172909
,80994011
,81172902
,80998890
,81047903
,81026343
,70125931
